,bsz,lr,model,acc
0,32,0.01,CNN,16.77
1,32,0.01,CNN,17.08
2,32,0.01,CNN,16.75
3,32,0.01,CNN,22.76
4,32,0.01,CNN,25.63
5,32,0.01,CNN,19.38
6,32,0.01,CNN,14.01
7,32,0.01,CNN,11.44
8,32,0.01,CNN,22.04
9,32,0.01,CNN,21.37
10,128,0.0001,CNN,47.66
11,128,0.0001,CNN,44.54
12,128,0.0001,CNN,45.27
13,128,0.0001,CNN,33.54
14,128,0.0001,CNN,42.9
15,128,0.0001,CNN,49.01
16,128,0.0001,CNN,50.35
17,128,0.0001,CNN,23.42
18,128,0.0001,CNN,29.53
19,128,0.0001,CNN,40.57
20,16,0.1,MLP,9.98
21,16,0.1,MLP,10.35
22,16,0.1,MLP,10.39
23,16,0.1,MLP,9.98
24,16,0.1,MLP,10.02
25,16,0.1,MLP,10.04
26,16,0.1,MLP,16.08
27,16,0.1,MLP,4.76
28,16,0.1,MLP,12.83
29,16,0.1,MLP,14.77
30,64,0.0001,MLP,46.74
31,64,0.0001,MLP,61.3
32,64,0.0001,MLP,27.31
33,64,0.0001,MLP,47.26
34,64,0.0001,MLP,31.43
35,64,0.0001,MLP,29.1
36,64,0.0001,MLP,50.71
37,64,0.0001,MLP,20.09
38,64,0.0001,MLP,65.53
39,64,0.0001,MLP,45.36
40,32,0.001,MLP,44.48
41,32,0.001,MLP,40.11
42,32,0.001,MLP,41.95
43,32,0.001,MLP,62.61
44,32,0.001,MLP,60.01
45,32,0.001,MLP,44.58
46,32,0.001,MLP,40.19
47,32,0.001,MLP,44.44
48,32,0.001,MLP,58.94
49,32,0.001,MLP,37.25
50,64,0.001,MLP,53.24
51,64,0.001,MLP,55.27
52,64,0.001,MLP,57.75
53,64,0.001,MLP,62.79
54,64,0.001,MLP,47.36
55,64,0.001,MLP,41.66
56,64,0.001,MLP,27.22
57,64,0.001,MLP,21.86
58,64,0.001,MLP,42.52
59,64,0.001,MLP,43.44
60,64,0.01,CNN,10.12
61,64,0.01,CNN,12.83
62,64,0.01,CNN,13.43
63,64,0.01,CNN,18.1
64,64,0.01,CNN,12.77
65,64,0.01,CNN,5.9
66,64,0.01,CNN,10.03
67,64,0.01,CNN,13.41
68,64,0.01,CNN,8.89
69,64,0.01,CNN,19.7
70,512,0.0001,MLP,58.25
71,512,0.0001,MLP,51.38
72,512,0.0001,MLP,21.05
73,512,0.0001,MLP,54.39
74,512,0.0001,MLP,38.25
75,512,0.0001,MLP,56.01
76,512,0.0001,MLP,55.56
77,512,0.0001,MLP,71.21
78,512,0.0001,MLP,48.38
79,512,0.0001,MLP,40.21
80,512,0.001,MLP,48.24
81,512,0.001,MLP,54.69
82,512,0.001,MLP,55.45
83,512,0.001,MLP,49.89
84,512,0.001,MLP,53.75
85,512,0.001,MLP,22.06
86,512,0.001,MLP,44.73
87,512,0.001,MLP,42.15
88,512,0.001,MLP,27.04
89,512,0.001,MLP,46.66
90,256,0.1,CNN,9.85
91,256,0.1,CNN,9.6
