,layers,acc
0,1,70.03
1,1,79.48
2,1,65.12
3,1,70.12
4,1,79.54
5,1,67.07
6,1,67.43
7,1,74.87
8,1,78.46
9,1,73.54
10,1,75.06
11,1,70.24
12,1,61.64
13,1,77.71
14,1,83.08
15,1,71.37
16,1,78.36
17,1,71.48
18,1,75.67
19,1,61.11
20,1,78.83
21,1,77.53
22,1,68.16
23,1,79.57
24,1,82.94
25,2,47.54
26,2,62.49
27,2,57.66
28,2,52.11
29,2,58.73
30,2,61.13
31,2,66.41
32,2,60.93
33,2,60.74
34,2,59.19
35,2,38.88
36,2,52.96
37,2,58.23
38,2,60.76
39,2,69.66
40,2,67.85
41,2,39.31
42,2,60.93
43,2,59.39
44,2,46.84
45,2,37.95
46,2,63.25
47,2,44.84
48,2,53.47
49,2,61.64
50,3,68.83
51,3,65.29
52,3,80.52
53,3,78.16
54,3,72.93
55,3,75.74
56,3,58.09
57,3,79.22
58,3,68.71
59,3,65.0
60,3,68.76
61,3,79.87
62,3,72.61
63,3,46.88
64,3,69.7
65,3,52.32
66,3,77.3
67,3,62.97
68,3,49.06
69,3,72.38
70,3,59.1
71,3,74.38
72,3,73.62
73,3,73.31
74,3,66.31
75,4,59.94
76,4,39.3
77,4,64.76
78,4,51.86
79,4,78.19
80,4,68.41
81,4,50.8
82,4,38.69
83,4,58.68
84,4,76.31
85,4,77.7
86,4,54.78
87,4,57.74
88,4,68.98
89,4,58.62
90,4,60.84
91,4,68.91
92,4,70.05
93,4,57.28
94,4,73.79
95,4,66.89
96,4,59.89
97,4,77.91
98,4,42.73
99,4,76.52
100,5,52.58
101,5,37.11
102,5,28.64
103,5,43.07
104,5,54.4
105,5,39.81
106,5,11.15
107,5,52.11
108,5,63.56
109,5,32.26
110,5,40.53
111,5,25.83
112,5,30.08
113,5,18.3
114,5,35.49
115,5,43.37
116,5,15.75
117,5,54.27
118,5,51.84
119,5,33.65
120,5,50.96
121,5,40.28
122,5,30.47
123,5,39.5
124,5,46.38
