,module,acc
0,conv1,97.4
1,conv1,97.52
2,conv1,96.08
3,conv1,88.69
4,conv1,88.6
5,conv1,43.13
6,conv1,92.55
7,conv1,96.82
8,conv1,35.38
9,conv1,56.94
10,conv1,54.5
11,conv1,95.26
12,conv1,97.11
13,conv1,57.42
14,conv1,85.19
15,conv1,47.74
16,conv1,70.7
17,conv1,59.54
18,conv1,95.43
19,conv1,95.83
20,conv2,87.35
21,conv2,78.44
22,conv2,44.39
23,conv2,50.32
24,conv2,49.56
25,conv2,52.91
26,conv2,65.52
27,conv2,51.83
28,conv2,69.42
29,conv2,75.17
30,conv2,69.99
31,conv2,41.74
32,conv2,26.95
33,conv2,66.84
34,conv2,83.4
35,conv2,72.48
36,conv2,63.18
37,conv2,32.93
38,conv2,69.71
39,conv2,67.38
40,fc1,57.01
41,fc1,56.74
42,fc1,38.99
43,fc1,67.48
44,fc1,66.19
45,fc1,70.43
46,fc1,62.05
47,fc1,55.85
48,fc1,31.89
49,fc1,61.14
50,fc1,45.51
51,fc1,50.08
52,fc1,68.9
53,fc1,56.94
54,fc1,58.67
55,fc1,66.1
56,fc1,59.86
57,fc1,54.75
58,fc1,54.7
59,fc1,71.21
60,fc2,84.21
61,fc2,77.41
62,fc2,70.94
63,fc2,61.21
64,fc2,73.57
65,fc2,78.06
66,fc2,75.12
67,fc2,61.76
68,fc2,68.68
69,fc2,76.29
70,fc2,78.44
71,fc2,66.45
72,fc2,68.16
73,fc2,72.35
74,fc2,62.91
75,fc2,75.23
76,fc2,70.07
77,fc2,75.79
78,fc2,86.75
79,fc2,74.83
80,fc3,61.27
81,fc3,79.32
82,fc3,49.84
83,fc3,40.55
84,fc3,40.47
85,fc3,55.92
86,fc3,67.56
87,fc3,63.62
88,fc3,63.86
89,fc3,51.55
90,fc3,54.27
91,fc3,47.32
92,fc3,43.37
93,fc3,76.18
94,fc3,67.64
95,fc3,67.91
96,fc3,37.04
97,fc3,59.45
98,fc3,47.05
99,fc3,49.4
