,std,acc
0,0.1,99.11
1,0.1,99.17
2,0.1,99.06
3,0.1,99.12
4,0.1,99.16
5,0.1,98.98
6,0.1,99.16
7,0.1,99.11
8,0.1,99.13
9,0.1,99.09
10,0.2,99.02
11,0.2,98.93
12,0.2,98.99
13,0.2,98.98
14,0.2,98.84
15,0.2,98.97
16,0.2,98.86
17,0.2,99.04
18,0.2,99.08
19,0.2,98.98
20,0.4,98.61
21,0.4,98.0
22,0.4,97.83
23,0.4,97.21
24,0.4,97.17
25,0.4,98.65
26,0.4,98.21
27,0.4,98.41
28,0.4,98.23
29,0.4,98.05
30,0.5,97.66
31,0.5,97.68
32,0.5,97.07
33,0.5,96.87
34,0.5,98.14
35,0.5,97.98
36,0.5,96.85
37,0.5,82.99
38,0.5,96.83
39,0.5,96.3
40,0.7,66.12
41,0.7,75.67
42,0.7,71.41
43,0.7,89.41
44,0.7,86.44
45,0.7,78.43
46,0.7,87.48
47,0.7,75.61
48,0.7,94.4
49,0.7,92.56
50,0.8,65.82
51,0.8,68.72
52,0.8,86.94
53,0.8,73.59
54,0.8,64.48
55,0.8,85.87
56,0.8,89.4
57,0.8,74.14
58,0.8,85.72
59,0.8,44.75
60,1.0,40.17
61,1.0,36.9
62,1.0,33.56
63,1.0,32.55
64,1.0,51.62
65,1.0,27.12
66,1.0,36.01
67,1.0,44.37
68,1.0,18.56
69,1.0,65.24
70,1.2,16.67
71,1.2,25.69
72,1.2,18.02
73,1.2,20.82
74,1.2,31.04
75,1.2,38.72
76,1.2,28.46
77,1.2,29.44
78,1.2,16.18
79,1.2,18.57
80,1.5,9.82
81,1.5,15.18
82,1.5,10.77
83,1.5,13.34
84,1.5,10.33
85,1.5,17.56
86,1.5,12.72
87,1.5,6.53
88,1.5,7.08
89,1.5,18.35
